symbol,sector,industry
GLEN.L,Basic Materials,Other Industrial Metals & Mining
AAL.L,Basic Materials,Other Industrial Metals & Mining
PRU.L,Financial Services,Insurance—Life
TSCO.L,Consumer Defensive,Grocery Stores
BA.L,Industrials,Aerospace & Defense
SAP.DE,Technology,Software—Application
SIE.DE,Industrials,Specialty Industrial Machinery
ALV.DE,Financial Services,Insurance—Diversified
DTE.DE,Communication Services,Telecom Services
BAS.DE,Basic Materials,Chemicals
BAYN.DE,Healthcare,Drug Manufacturers—General
BMW.DE,Consumer Cyclical,Auto Manufacturers
MC.PA,Consumer Cyclical,Luxury Goods
OR.PA,Consumer Defensive,Household & Personal Products
TTE.PA,Energy,Oil & Gas Integrated
SAN.PA,Healthcare,Drug Manufacturers—General
AIR.PA,Industrials,Aerospace & Defense
BNP.PA,Financial Services,Banks—Regional
ASML.AS,Technology,Semiconductor Equipment & Materials
